CellID,Acvr2a-C,Acvr2a-L,Adar-C,Adar-C2,Adar-L,Adar1-L,Adar2-L,Aldh1l1-L,Cdr1as-C,Cdr1as-L,Cyano-L,Cyp24a1-L,Eif3j-C,Eif3j-L,Foxp1-C,Foxp1-C2,Foxp1-C3,Foxp1-C4,Foxp1-C5,Foxp1-L,Gfap-L,Hipk3-C,Hipk3-C2,Hipk3-C3,Hipk3-L,Kmt2e-C,Kmt2e-C2,Kmt2e-C3,Kmt2e-C4,Kmt2e-C5,Kmt2e-C6,Kmt2e-L,Man1a2-C,Man1a2-C2,Man1a2-C3,Man1a2-L,Map2-L,Mgat5-C,Mgat5-C2,Mgat5-C3,Mgat5-C4,Mgat5-L,Nes-L,Qki-C,Qki-C2,Qki-C3,Qki-L,Rmst-C,Rmst-C2,Rmst-C3,Rmst-C4,Rmst-C5,Rmst-L,S100b-L,Snap47-C,Snap47-C2,Snap47-C3,Snap47-C4,Snap47-C5,Snap47-L,Xpo1-C,Xpo1-C2,Xpo1-C3,Xpo1-L,Zkscan1-C,Zkscan1-C2,Zkscan1-C3,Zkscan1-L,ncMalat1-L,centroidX,centroidY
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.885861e+02,8.497866e+00
2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125963e+02,1.230884e+01
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.390485e+02,4.884848e+00
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.889237e+03,1.107353e+01
5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.589784e+01,1.619958e+01
7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529807e+03,1.518681e+01
10,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.393403e+02,1.779628e+01
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.138504e+02,1.151425e+01
12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.598686e+02,1.571687e+01
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4.697331e+02,1.798332e+01
