ImageNumber,ObjectNumber,AreaShape_Area,Location_Center_X,Location_Center_Y
1,1,703,188.586059744,8.49786628734
1,2,1075,312.59627907,12.3088372093
1,3,330,539.048484848,4.88484848485
1,4,1088,1889.23713235,11.0735294118
1,5,1899,75.8978409689,16.1995787256
1,6,1602,1939.88701623,14.904494382
1,7,1729,1529.80682475,15.1868131868
1,8,1216,1329.59703947,16.3092105263
1,9,1236,271.685275081,13.4846278317
1,10,2204,639.340290381,17.7962794918
1,11,702,513.85042735,11.5142450142
1,12,883,559.868629672,15.7168742922
1,13,1178,1085.41341256,14.4702886248
1,14,1199,469.733110926,17.9833194329
1,15,2022,355.914935707,21.431256182
1,16,570,498.973684211,19.7684210526
1,17,1174,1361.55706985,18.1456558773
1,18,1608,596.381218905,24.9975124378
1,19,1912,790.670502092,18.7343096234
1,20,880,167.204545455,17.1954545455
1,21,1418,1411.89492243,25.3124118477
1,22,1527,873.544859201,24.8965291421
1,23,947,158.308342133,33.883843717
1,24,2245,1049.50601336,27.5853006682
1,25,1267,1121.31491713,20.3606945541
1,26,1901,243.033140452,31.5218306155
1,27,1984,907.804939516,26.4858870968
1,28,1100,1439.21818182,33.7836363636
1,29,614,545.328990228,30.4104234528
1,30,607,1460.35914333,30.6276771005
1,31,936,1147.72649573,30.8888888889
1,32,1445,1478.45536332,40.6747404844
1,33,1093,497.931381519,44.3687099726
1,34,1255,775.068525896,44.3362549801
1,35,1745,965.861891117,41.6143266476
1,36,1229,1094.57851912,48.3043124491
1,37,1311,128.954996186,32.7955758963
1,38,1315,1381.9338403,44.8197718631
1,39,637,534.502354788,44.6703296703
1,40,1124,572.588078292,53.1895017794
1,41,1487,1168.91661063,47.5736381977
1,42,1155,452.83030303,46.8069264069
1,43,1653,1029.34785239,58.9153055051
1,44,1261,124.026962728,57.0927835052
1,45,1953,321.804403482,54.6461853559
1,46,1938,1123.72239422,70.0799793602
1,47,1490,1337.31006711,60.5201342282
1,48,2294,1593.29904098,67.497820401
1,49,1391,473.214953271,72.8324946082
1,50,930,363.191397849,61.3860215054
1,51,1062,518.755178908,69.5951035782
1,52,1703,69.5032295948,65.7903699354
1,53,841,555.142687277,72.8715814507
1,54,587,1360.60306644,66.8432708688
1,55,1825,1866.61315068,67.1375342466
1,56,1750,423.003428571,65.2331428571
1,57,1044,1186.95114943,72.3381226054
1,58,1993,1216.88108379,73.52734571
1,59,1485,261.5003367,68.0565656566
1,60,1217,122.184880855,80.6392769104
1,61,1850,896.303243243,72.2140540541
1,62,2025,31.5590123457,71.1412345679
1,63,2443,186.356528858,69.1723291036
1,64,764,378.311518325,77.7748691099
1,65,2566,787.975448168,77.9107560405
1,66,1797,1433.19087368,72.2420701169
1,67,1321,537.903860712,95.3663890992
1,68,1399,313.709792709,84.739814153
1,69,2393,1501.6397827,81.5984120351
1,70,2549,1264.62965869,90.2840329541
1,71,1050,1356.81428571,94.1704761905
1,72,2423,848.889393314,95.0004127115
1,73,2925,685.810598291,83.7723076923
1,74,1534,935.361147327,84.6786179922
1,75,1182,965.684433164,93.0329949239
1,76,1012,1161.1215415,88.3992094862
1,77,2064,1391.82655039,92.9864341085
1,78,1458,259.511659808,100.033607682
1,79,1442,358.565880721,101.694868239
1,80,2115,427.834042553,104.427895981
1,81,1129,1444.8166519,102.461470328
1,82,1902,496.079915878,108.00893796
1,83,957,921.143155695,122.159874608
1,84,2164,1318.56746765,111.599815157
1,85,1277,284.0,116.676585748
1,86,2095,1976.85155131,116.947494033
1,87,1245,1188.04578313,115.974297189
1,88,1396,894.791547278,115.621776504
1,89,1668,185.955035971,113.794364508
1,90,941,1149.58448459,112.144527099
1,91,2080,1511.98894231,123.863942308
