ImageNumber,ObjectNumber,AreaShape_Area,Location_Center_X,Location_Center_Y
1,1,92,180.032608696,2.59782608696
1,2,122,313.991803279,3.46721311475
1,3,61,541.213114754,1.86885245902
1,4,73,1889.42465753,2.53424657534
1,5,240,73.8375,8.12083333333
1,6,195,1939.49230769,7.01538461538
1,7,248,1529.85483871,7.12903225806
1,8,213,1336.81220657,10.9765258216
1,9,199,267.291457286,8.76884422111
1,10,467,633.805139186,9.81370449679
1,11,180,509.622222222,11.1111111111
1,12,124,551.693548387,17.0322580645
1,13,105,1086.8952381,15.5523809524
1,14,107,475.028037383,21.1401869159
1,15,197,353.83248731,18.6040609137
1,16,194,499.963917526,21.4278350515
1,17,174,1353.31609195,18.8965517241
1,18,71,598.070422535,22.9436619718
1,19,294,787.517006803,24.2006802721
1,20,135,165.140740741,18.8074074074
1,21,168,1420.08928571,24.6964285714
1,22,210,882.523809524,23.780952381
1,23,134,159.582089552,27.3134328358
1,24,310,1048.47096774,29.2064516129
1,25,291,1119.52920962,32.2199312715
1,26,154,246.961038961,28.3506493506
1,27,380,900.181578947,25.7526315789
1,28,246,1436.17886179,29.9593495935
1,29,226,546.876106195,30.8628318584
1,30,74,1464.63513514,34.5945945946
1,31,91,1146.15384615,36.5054945055
1,32,115,1472.13043478,37.8869565217
1,33,200,495.49,37.22
1,34,253,779.418972332,41.162055336
1,35,58,965.637931034,40.5517241379
1,36,270,1104.18148148,44.6777777778
1,37,238,130.134453782,41.2352941176
1,38,56,1378.0,44.2321428571
1,39,167,540.80239521,44.6407185629
1,40,102,564.068627451,53.4019607843
1,41,229,1166.72489083,50.9257641921
1,42,104,455.75,52.3076923077
1,43,98,1031.32653061,55.4897959184
1,44,267,124.771535581,58.3108614232
1,45,163,321.932515337,58.8834355828
1,46,453,1121.73951435,58.7328918322
1,47,187,1344.4973262,61.9411764706
1,48,139,1593.71223022,67.3884892086
1,49,90,471.133333333,67.7555555556
1,50,46,365.0,67.5652173913
1,51,263,529.828897338,71.0038022814
1,52,109,64.3486238532,66.7614678899
1,53,276,547.0,69.3949275362
1,54,140,1351.25,66.5571428571
1,55,57,1866.57894737,67.2631578947
1,56,283,426.915194346,71.2508833922
1,57,231,1185.12554113,73.1168831169
1,58,229,1211.89519651,73.5283842795
1,59,104,261.778846154,73.0480769231
1,60,109,123.706422018,71.7339449541
1,61,166,898.710843373,73.1204819277
1,62,200,35.605,70.79
1,63,234,186.14957265,69.688034188
1,64,42,369.714285714,73.5476190476
1,65,386,787.339378238,76.0518134715
1,66,229,1432.67248908,76.0786026201
1,67,243,537.691358025,84.0864197531
1,68,159,314.062893082,83.7798742138
1,69,292,1502.3869863,84.7739726027
1,70,209,1265.03827751,90.4162679426
1,71,45,1357.53333333,89.0222222222
1,72,169,849.195266272,94.4911242604
1,73,438,684.586757991,86.8150684932
1,74,282,935.031914894,91.365248227
1,75,61,959.229508197,94.7540983607
1,76,172,1167.12209302,91.7674418605
1,77,226,1391.43362832,92.7389380531
1,78,185,263.837837838,96.4972972973
1,79,48,358.916666667,99.0208333333
1,80,320,427.5,96.64375
1,81,190,1438.15263158,103.863157895
1,82,202,494.727722772,111.747524752
1,83,156,919.756410256,115.025641026
1,84,176,1317.97159091,112.625
1,85,149,285.919463087,113.093959732
1,86,145,1978.86896552,116.751724138
1,87,208,1177.86538462,112.879807692
1,88,165,902.139393939,114.957575758
1,89,189,186.084656085,118.714285714
1,90,291,1158.86597938,116.182130584
1,91,191,1511.02617801,120.12565445
1,92,210,1429.20952381,119.828571429
1,93,210,316.761904762,118.871428571
1,94,187,707.834224599,123.406417112
1,95,244,786.491803279,123.430327869
1,96,114,950.552631579,126.157894737
1,97,203,618.472906404,126.75862069
1,98,216,661.527777778,125.916666667
1,99,234,1154.44871795,131.628205128
1,100,200,480.735,137.92
1,101,183,127.513661202,138.74863388
1,102,195,322.779487179,142.246153846
1,103,217,739.571428571,134.299539171
1,104,171,1056.02923977,140.678362573
1,105,205,1594.29268293,138.834146341
1,106,234,1706.09401709,136.777777778
1,107,428,1692.47429907,144.009345794
1,108,229,159.493449782,145.026200873
1,109,156,203.621794872,143.685897436
1,110,247,385.068825911,153.246963563
1,111,233,693.862660944,148.733905579
1,112,172,1644.70930233,148.98255814
1,113,241,308.087136929,148.0
1,114,71,1250.78873239,148.845070423
1,115,402,543.400497512,151.504975124
1,116,86,1176.03488372,151.546511628
1,117,137,1299.51824818,148.729927007
1,118,378,1013.37037037,151.87037037
1,119,213,805.948356808,156.877934272
1,120,172,877.459302326,154.889534884
1,121,232,493.168103448,155.176724138
1,122,217,607.801843318,159.940092166
1,123,263,679.501901141,159.041825095
1,124,244,1166.51639344,160.299180328
1,125,210,1388.1,162.371428571
1,126,201,118.880597015,161.189054726
1,127,302,1626.4205298,162.354304636
1,128,277,775.931407942,166.241877256
1,129,162,1811.06790123,168.364197531
1,130,217,1063.47465438,165.884792627
1,131,328,192.75,171.798780488
1,132,186,1363.5483871,177.575268817
1,133,472,695.411016949,179.207627119
1,134,236,985.326271186,178.580508475
1,135,213,1099.51643192,176.910798122
1,136,115,1209.2,179.626086957
1,137,214,290.453271028,181.023364486
1,138,93,944.892473118,180.301075269
1,139,40,674.025,182.025
1,140,124,733.879032258,184.419354839
1,141,240,1288.67916667,190.958333333
1,142,216,1315.51388889,187.722222222
1,143,163,82.7791411043,187.214723926
1,144,61,1271.47540984,184.62295082
1,145,186,786.655913978,189.876344086
1,146,69,244.898550725,191.391304348
1,147,46,474.195652174,190.869565217
1,148,235,1070.34893617,189.50212766
1,149,279,1212.41935484,192.681003584
1,150,197,1661.60406091,186.878172589
1,151,192,1959.54166667,191.921875
1,152,311,908.40192926,191.623794212
1,153,186,1768.05376344,196.47311828
1,154,76,76.2105263158,195.157894737
1,155,266,420.229323308,194.703007519
1,156,364,928.931318681,202.733516484
1,157,328,495.146341463,202.634146341
1,158,193,1862.21243523,197.849740933
1,159,103,1080.33980583,198.67961165
1,160,255,58.8039215686,201.705882353
1,161,279,431.275985663,203.215053763
1,162,289,310.325259516,200.539792388
1,163,364,453.0,203.549450549
1,164,358,379.729050279,204.427374302
1,165,239,946.615062762,208.012552301
1,166,90,572.522222222,209.944444444
1,167,57,503.438596491,209.49122807
1,168,237,558.012658228,213.493670886
1,169,227,1009.99559471,211.594713656
1,170,93,1236.33333333,211.537634409
1,171,68,926.411764706,216.529411765
1,172,243,449.794238683,217.679012346
1,173,279,670.727598566,211.792114695
1,174,590,1326.87288136,207.962711864
1,175,168,908.56547619,221.833333333
1,176,102,1926.61764706,223.039215686
1,177,188,876.914893617,223.468085106
1,178,226,1365.37168142,224.495575221
1,179,209,990.019138756,223.244019139
1,180,181,30.6740331492,225.878453039
1,181,357,229.481792717,230.518207283
1,182,170,395.905882353,230.570588235
1,183,175,828.531428571,229.0
1,184,201,1064.97014925,229.925373134
1,185,108,1408.22222222,233.222222222
1,186,178,214.516853933,232.606741573
1,187,235,324.421276596,243.812765957
1,188,157,509.159235669,239.636942675
1,189,102,779.166666667,242.901960784
1,190,138,479.362318841,246.630434783
1,191,479,573.200417537,241.392484342
1,192,114,998.315789474,244.245614035
1,193,167,95.5688622754,249.137724551
1,194,65,65.6307692308,245.230769231
1,195,116,782.422413793,253.543103448
1,196,208,378.307692308,253.283653846
1,197,98,724.234693878,255.112244898
1,198,117,954.615384615,258.0
1,199,52,456.769230769,259.134615385
1,200,643,1283.54898911,253.637636081
1,201,145,1781.35172414,261.965517241
1,202,264,395.003787879,264.568181818
1,203,207,11.884057971,262.68115942
1,204,52,729.923076923,264.192307692
1,205,60,833.05,264.333333333
1,206,132,892.666666667,266.46969697
1,207,257,1139.32684825,263.579766537
1,208,150,1435.0,268.14
1,209,255,659.705882353,260.729411765
1,210,608,1187.96875,269.067434211
1,211,194,450.798969072,268.649484536
1,212,258,1163.01550388,271.775193798
1,213,263,1104.69581749,274.155893536
1,214,219,526.96803653,277.127853881
1,215,180,171.161111111,282.138888889
1,216,234,993.329059829,280.102564103
1,217,301,544.079734219,276.84717608
1,218,479,1120.67849687,278.104384134
1,219,649,774.209553159,280.926040062
1,220,245,692.840816327,286.657142857
1,221,172,1217.37209302,288.569767442
1,222,216,577.027777778,291.388888889
1,223,116,90.1896551724,297.025862069
1,224,287,1655.24041812,292.505226481
1,225,185,1300.04864865,301.340540541
1,226,43,1503.1627907,300.906976744
1,227,162,820.302469136,299.104938272
1,228,112,835.919642857,300.580357143
1,229,90,1129.42222222,305.488888889
1,230,144,16.3958333333,304.138888889
1,231,193,1007.41450777,303.051813472
1,232,172,361.552325581,303.994186047
1,233,316,898.759493671,310.379746835
1,234,213,389.624413146,309.610328638
1,235,100,864.7,310.6
1,236,121,936.099173554,309.933884298
1,237,229,689.07860262,313.593886463
1,238,209,307.95215311,311.913875598
